val40,val30,val20,val10,val0
0.0002604264604749,0.0003245847247339,0.000262830322684,0.0002617452583942,0.0003709789583262
0.000269955212099,0.0002664701971864,0.0002565826752865,0.0002641397942931,0.0005564394282647
0.0002594247551139,0.0002604907886814,0.0002693500508283,0.000281109893695,0.0004832212335477
0.0002670759328716,0.0002577260960678,0.0002692548853516,0.0002675002844528,0.0003657535545357
0.0002585638369742,0.0002630731692574,0.0002730178988181,0.0002706543149106,0.0003977804395129
0.0002598441132315555,0.0002696358502329233,0.0002694767629334273,0.0002739017302985636,0.0004062521536320933
0.0002645943543290971,0.00027435557800535067,0.00026764211006277477,0.00026943699317284503,0.00040338900101520553
0.00026998080973827823,0.00026963578962302593,0.0002837562117335366,0.00026453326174104703,0.00041078473272143027
0.00026564680305013634,0.0002612888497140432,0.0002583497217969444,0.000267241289177536,0.0006032601554364634
0.0002672028243959253,0.0002672236100534721,0.00027145784001215826,0.00027283963658699686,0.00040707394772263364
