val40,val30,val20,val10,val0
8.881623507551592e-05,9.079376352117212e-05,8.718199676074345e-05,8.956113629883588e-05,9.374118981012086e-05
9.356025763445674e-05,8.932777000991167e-05,9.325245245858101e-05,9.290063384503361e-05,9.486023235796902e-05
8.843469145189722e-05,0.00010363046716054593,9.138837854806502e-05,9.513539725383993e-05,9.246750924894485e-05
8.860957514266958e-05,9.05099167762224e-05,8.675401649126176e-05,8.78202393265269e-05,9.4942412309955e-05
8.974891756778355e-05,9.153333187724894e-05,8.842058868109614e-05,9.058721632693212e-05,0.00011288319798071086
