val50,val40,val30,val20,val10,val0
-331.8864707884963,-330.3708688726025,-335.77751702757223,-329.45147206292467,-328.2415578111141,-341.64148804129997
-334.4411895139813,-330.53970770573466,-329.4806395798014,-331.3598040370458,-332.9083618496703,-343.9746699283652
-335.53337662399423,-330.9210391578915,-329.31195525043705,-330.23742851806617,-331.0194641688974,-342.94870601059944
