val40,val35,val30,val25,val20,val18,val16,val14,val12
-394.41089512844064,-392.53429056368503,-401.8812442080938,-428.32948059981055,-482.74554133298614,-506.8320295923886,-541.5674931254356,-580.4831996013573,-613.9974459542525
-389.76257001924654,-392.42117998302206,-402.0652077915702,-431.43438997944986,-479.5176399865625,-511.67668412831694,-543.1113917609923,-577.4140554951479,-617.7607335979548
-390.2161730389959,-391.00211447065954,-401.11109482973814,-432.41893806255564,-480.90766990398066,-507.3425947317987,-545.3426522929849,-579.0189546140504,-618.4294131446945
