val50,val40,val35,val30,val25,val20,val15,val10
2.8141542789014583e-08,2.5722780866151097e-08,2.8962921281889796e-08,2.440215694167892e-08,2.6990358129126143e-08,2.7555960843865497e-08,2.6652520668464065e-08,3.0533054526882555e-08
2.602989424224426e-08,2.565171245855941e-08,2.979646891246614e-08,2.8126303097834665e-08,2.5197316020919363e-08,2.5477979541547982e-08,2.6718642884323908e-08,3.006217106773901e-08
2.419061103265066e-08,2.8409038412741614e-08,2.556891748529257e-08,2.5979995624916778e-08,2.5842710502367398e-08,2.7956594134345685e-08,5.556507443967321e-08,1.7047464806412255e-07
2.884417586169038e-08,2.8480037080000617e-08,2.539384211692286e-08,2.7553762335570866e-08,2.6724876643814506e-08,4.232843573113241e-08,2.605655324207765e-08,2.9346552981562268e-08
