val50,val40,val35,val30,val25,val20,val15,val10
1.0084107680903314e-07,2.5989192009098934e-08,4.5867004273363483e-08,2.7598495283999247e-08,4.1695935788702745e-08,2.5544492024966916e-08,5.617622614306468e-08,8.977276205725203e-08
2.6764351933932807e-08,3.2082991195194485e-08,2.251611470386793e-08,3.179862342363754e-08,2.2823576320306e-08,2.6814280198024545e-08,4.219265511508043e-08,6.382155282914923e-08
3.306748961170751e-08,2.6061806555502064e-08,3.471052477445491e-08,5.518701400632835e-08,2.3258350371909907e-08,3.1599838258721224e-08,4.431000210318362e-08,7.373134739885094e-08
