val50,val40,val35,val30,val25,val20,val15,val10
1.226859885228733e-08,1.4998376434391586e-08,1.4162842951030796e-08,1.517653604208045e-08,1.3737070777332049e-08,1.2000363068885507e-08,1.8169237990182427e-08,1.3158702386228897e-08
1.4977857666756944e-08,1.3828134206441358e-08,1.6290556878384612e-08,1.4364813316206738e-08,1.3122338223482258e-08,1.676732095123401e-08,1.6128390574564606e-08,1.4144997285648876e-08
1.3580457993258027e-08,1.2824244743827748e-08,1.702871700445858e-08,1.4260124827825825e-08,1.2487328580610058e-08,1.1514573905341136e-08,1.510563721734192e-08,1.6176221296739073e-08
