val50,val40,val35,val30,val25,val20,val15,val10
4.8675341651065685e-09,6.217331788991306e-09,4.664569989318232e-09,5.0331348844389024e-09,5.08604985775474e-09,4.901576326162449e-09,5.4449540659193386e-09,5.729748254594233e-09
4.988209833072822e-09,4.9613610069334765e-09,5.029375294807671e-09,5.11635464273948e-08,4.979101196255649e-09,4.834547541518682e-09,5.8687223239275e-09,5.30609791974792e-09
1.2454298591467087e-08,5.0541583227735356e-09,5.2048552558909176e-09,4.81703583388729e-09,5.051580381756395e-09,5.912792667407801e-09,5.202758091229645e-09,5.232996140109036e-09
