val50,val40,val35,val30,val25,val20,val15,val10
1.0868455292186842e-08,1.0781628586615122e-08,1.1205081396478462e-08,1.0620973759735506e-08,1.0872036742396462e-08,1.0708805395026268e-08,1.1243308664763971e-08,1.1990137840036123e-08
1.0559034710941378e-08,1.0790810165972027e-08,1.09836823660801e-08,1.1053160750718096e-08,1.0305772550038036e-08,1.1695026897653552e-08,1.13496809636707e-08,1.1663688395462604e-08
1.0036910720586261e-08,1.181036465155882e-08,1.0459019877116782e-08,1.0714208719425549e-08,1.0205785571605009e-08,1.1480891591902064e-08,1.159449143725902e-08,1.4139288664923187e-08
1.2754296155139302e-08,1.0913689204037145e-08,1.056372934315111e-08,1.0732788508485648e-08,1.0435710875587353e-08,1.129994110822505e-08,1.020104023981899e-08,1.1589672396852326e-08
