val50,val40,val35,val30,val25,val20,val15,val10
2.0887035416645645e-08,6.511805892816968e-09,7.925880124038338e-09,6.063888280571034e-09,8.082238513074552e-09,5.731284883002008e-09,1.9081691951405415e-08,9.834643524593741e-09
6.27063426407709e-09,7.31310756006852e-09,5.612730213871925e-09,6.509622556561222e-09,5.6286357645969e-09,5.870499692911046e-09,8.23135243431007e-09,8.653351688492868e-09
6.171373562791232e-09,5.765241021477436e-09,6.935736474561933e-09,1.1354195901307724e-08,5.791068012976427e-09,6.124161581904737e-09,7.865458525541875e-09,9.107337720889793e-09
