val50,val40,val35,val30,val25,val20,val15,val10
1.602046431804466e-08,2.2928124065389476e-08,1.4217852435597795e-08,1.8018323719032587e-08,1.887171783257661e-08,1.7789229923087402e-08,3.5936860257662567e-08,2.4976372436377614e-08
1.7249906315899252e-08,1.819633465259265e-08,1.581180176344961e-08,5.025815383069616e-07,1.644602864197937e-08,1.5977249319945975e-08,9.782601710321118e-08,2.3809723786781085e-08
7.639886625529181e-08,2.768797024673689e-08,2.0603327412569904e-08,1.51233388493614e-08,2.1832530567267874e-08,2.6537412598654753e-08,4.778048154428329e-08,2.2850560920053443e-08
