val40,val30,val20,val10,val0
9.922871720076963e-09,1.1922162330383736e-08,1.0256056977912838e-08,1.0654753181947141e-08,1.2055394314795192e-08
1.0919580839623465e-08,1.1136446040911423e-08,1.776868458741047e-08,1.1135932191599722e-08,1.2176082071381957e-08
1.0656209267351398e-08,9.90703671292731e-09,1.1779852413060071e-08,1.0561167936245706e-08,9.752890188396086e-09
1.044757289363227e-08,1.040416725919874e-08,1.1462645078456393e-08,9.87926564954625e-09,1.1777411297679135e-08
1.0180109744034764e-08,1.1130049312036319e-08,1.1133982733174537e-08,1.1701408132883054e-08,1.2072577415905731e-08
