val40,val30,val20,val10,val0
2.479175140575373e-08,3.1297544898199495e-08,2.4208660755987364e-08,2.5408855554953057e-08,4.775295337584058e-08
2.5626797085701354e-08,2.6661636239059975e-08,1.2167158618621825e-07,2.97171246848401e-08,3.121528626614069e-08
2.351746996531698e-08,2.491680296330596e-08,4.0180170559136296e-08,2.4663147839907734e-08,2.5593948778337385e-08
2.480932091650928e-08,2.6206861983155334e-08,2.663083506468289e-08,2.438792428170315e-08,3.876859706938566e-08
2.5243708903216296e-08,2.6369072431546024e-08,2.704884745908861e-08,2.7087296052641673e-08,3.023774237518068e-08
