val50,val40,val35,val30,val25,val20,val15,val10
2.1266610162303026e-08,2.461243020468594e-08,2.3710621518077963e-08,2.755347469020627e-08,2.2984337319692367e-08,2.0079608867603066e-08,2.7491225670780982e-08,2.1249543849635375e-08
2.4068877533263544e-08,2.172213294812952e-08,2.4998458624133763e-08,2.3038173063768918e-08,2.197226880491411e-08,2.6422161747051572e-08,2.456328080826288e-08,2.487748171261842e-08
2.23380250053419e-08,2.2950880023165672e-08,2.4573569705369566e-08,2.1015317602873194e-08,2.0067843136172833e-08,2.084502337552443e-08,2.429397140790092e-08,2.646066614650486e-08
