val50,val40,val35,val30,val25,val20,val15,val10
6.399689078344329e-09,8.303963507846133e-09,7.285739250519153e-09,7.749467351245495e-09,6.344902590933947e-09,7.673287118422218e-09,7.3099776429933965e-09,7.913823546306906e-09
7.323006044832399e-09,6.994823722893992e-09,7.486969341970034e-09,7.152327703844634e-09,6.660070887997845e-09,7.22717196956175e-09,7.347018838564243e-09,7.736819219896712e-09
6.797811286408385e-09,7.508986111812048e-09,7.0160101666245755e-09,7.587345000206244e-09,6.903516083092106e-09,7.119504474869213e-09,7.430969271435979e-09,7.173055788048681e-09
