val50,val40,val35,val30,val25,val20,val15,val10
1.5126410598747855e-08,1.74147650038356e-08,1.694684814425732e-08,1.717574565005129e-08,1.43580542116574e-08,1.7107558120736137e-08,1.655757559389552e-08,1.848176649227002e-08
1.6779390645055763e-08,1.6234273157023642e-08,1.6023338910764036e-08,1.559575285740702e-08,1.4798188738716505e-08,1.5460552231166344e-08,1.6756701098611966e-08,1.9429039461531872e-08
1.6565458684901034e-08,1.6541789659953302e-08,1.5533548986165636e-08,1.6251308874022944e-08,1.547864786431033e-08,1.5814179065646727e-08,1.7415030254409754e-08,1.7539959332177143e-08
